subject,attribute,value
hu052250,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu052250,download_type,text
hu052250,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu052250,member_type,text
hu052250,text_file_subtype,23andMe
hu05993A,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu05993A,download_type,text
hu05993A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu05993A,member_type,text
hu05993A,text_file_subtype,23andMe
hu05F442,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu05F442,download_type,archive
hu05F442,archive_member_count,1
hu05F442,archive_content,name_is_genome_mumble_txt
hu05F442,member_name,genome_Elizabeth_East_Full_20130313142223.txt
hu05F442,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu05F442,member_type,text
hu05F442,text_file_subtype,23andMe
hu05FD49,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu05FD49,download_type,archive
hu05FD49,archive_member_count,1
hu05FD49,archive_content,name_is_genome_mumble_txt
hu05FD49,member_name,genome_Vincent_Luciano_Full_20111129140846.txt
hu05FD49,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu05FD49,member_type,text
hu05FD49,text_file_subtype,23andMe
hu066C78,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu066C78,download_type,archive
hu066C78,archive_member_count,1
hu066C78,archive_content,name_is_genome_mumble_txt
hu066C78,member_name,genome_Virginia_Savova_Full_20110703141838.txt
hu066C78,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu066C78,member_type,text
hu066C78,text_file_subtype,23andMe
hu0684DB,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0684DB,download_type,text
hu0684DB,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0684DB,member_type,text
hu0684DB,text_file_subtype,23andMe
hu08334F,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu08334F,download_type,archive
hu08334F,archive_member_count,3
hu08334F,archive_content,name_is_genome_mumble_txt
hu08334F,member_name,genome_Darin_Douma_Full_20151116114545.txt
hu08334F,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu08334F,member_type,text
hu08334F,text_file_subtype,23andMe
hu0878AF,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0878AF,download_type,archive
hu0878AF,archive_member_count,3
hu0878AF,archive_content,name_is_genome_mumble_txt
hu0878AF,member_name,genome_23DN_Full_20151109084600.txt
hu0878AF,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0878AF,member_type,text
hu0878AF,text_file_subtype,23andMe
hu08DAC6,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu08DAC6,download_type,text
hu08DAC6,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu08DAC6,member_type,text
hu08DAC6,text_file_subtype,23andMe
hu092771,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu092771,download_type,text
hu092771,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu092771,member_type,text
hu092771,text_file_subtype,23andMe
hu09D626,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu09D626,download_type,text
hu09D626,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu09D626,member_type,text
hu09D626,text_file_subtype,23andMe
hu0A4518,actual_file_type_from_magic_number,Zip archive data (empty)
hu0A4518,download_type,other
hu0A4518,member_type_from_magic_number,Zip archive data (empty)
hu0A6570,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0A6570,download_type,text
hu0A6570,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0A6570,member_type,text
hu0A6570,text_file_subtype,23andMe
hu0B9C47,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0B9C47,download_type,text
hu0B9C47,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0B9C47,member_type,text
hu0B9C47,text_file_subtype,23andMe
hu0C0779,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0C0779,download_type,text
hu0C0779,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0C0779,member_type,text
hu0C0779,text_file_subtype,23andMe
hu0C1563,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0C1563,download_type,archive
hu0C1563,archive_member_count,1
hu0C1563,archive_content,name_is_genome_mumble_txt
hu0C1563,member_name,genome_hu0C1563_Full_20131207183118.txt
hu0C1563,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0C1563,member_type,text
hu0C1563,text_file_subtype,23andMe
hu0D2DBE,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0D2DBE,download_type,archive
hu0D2DBE,archive_member_count,1
hu0D2DBE,archive_content,name_is_genome_mumble_txt
hu0D2DBE,member_name,genome_Erik_Aronesty_Full_20131228204436.txt
hu0D2DBE,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0D2DBE,member_type,text
hu0D2DBE,text_file_subtype,23andMe
hu0DEE68,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0DEE68,download_type,text
hu0DEE68,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0DEE68,member_type,text
hu0DEE68,text_file_subtype,23andMe
hu0E64A1,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu0E64A1,download_type,archive
hu0E64A1,archive_member_count,1
hu0E64A1,archive_content,name_is_genome_mumble_txt
hu0E64A1,member_name,genome_Chris_Bartels_Full_20110726162612.txt
hu0E64A1,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0E64A1,member_type,text
hu0E64A1,text_file_subtype,23andMe
hu0E7AAF,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0E7AAF,download_type,text
hu0E7AAF,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0E7AAF,member_type,text
hu0E7AAF,text_file_subtype,23andMe
hu0FDE6C,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0FDE6C,download_type,text
hu0FDE6C,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu0FDE6C,member_type,text
hu0FDE6C,text_file_subtype,23andMe
hu101457,actual_file_type_from_magic_number,"gzip compressed data, was ""genome_20160328081017.txt"", last modified: Mon Mar 28 12:10:18 2016, from Unix"
hu101457,download_type,archive
hu101457,archive_member_count,1
hu101457,archive_content,gzipped data
hu101457,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu101457,member_type,text
hu101457,text_file_subtype,23andMe
hu101EF8,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu101EF8,download_type,archive
hu101EF8,archive_member_count,1
hu101EF8,archive_content,name_is_genome_mumble_txt
hu101EF8,member_name,genome_John_Farris_Full_20130124212630.txt
hu101EF8,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu101EF8,member_type,text
hu101EF8,text_file_subtype,23andMe
hu11603C,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu11603C,download_type,archive
hu11603C,archive_member_count,1
hu11603C,archive_content,name_is_genome_mumble_txt
hu11603C,member_name,genome_Angela_Harris_Full_20120618075158.txt
hu11603C,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu11603C,member_type,text
hu11603C,text_file_subtype,23andMe
hu117D1E,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu117D1E,download_type,text
hu117D1E,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu117D1E,member_type,text
hu117D1E,text_file_subtype,23andMe
hu1187FF,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1187FF,download_type,archive
hu1187FF,archive_member_count,1
hu1187FF,archive_content,name_is_genome_mumble_txt
hu1187FF,member_name,genome_Vikki_Stefans_Full_20111029122811.txt
hu1187FF,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1187FF,member_type,text
hu1187FF,text_file_subtype,23andMe
hu11DF5B,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu11DF5B,download_type,text
hu11DF5B,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu11DF5B,member_type,text
hu11DF5B,text_file_subtype,23andMe
hu1213DA,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1213DA,download_type,archive
hu1213DA,archive_member_count,1
hu1213DA,archive_content,name_is_genome_mumble_txt
hu1213DA,member_name,genome_Kim_Helseth_Full_20130716055610.txt
hu1213DA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1213DA,member_type,text
hu1213DA,text_file_subtype,23andMe
hu1247AF,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1247AF,download_type,text
hu1247AF,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1247AF,member_type,text
hu1247AF,text_file_subtype,AncestryDNA
hu1287DA,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1287DA,download_type,text
hu1287DA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1287DA,member_type,text
hu1287DA,text_file_subtype,23andMe
hu12D62A,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu12D62A,download_type,text
hu12D62A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu12D62A,member_type,text
hu12D62A,text_file_subtype,23andMe
hu14262A,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu14262A,download_type,text
hu14262A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu14262A,member_type,text
hu14262A,text_file_subtype,23andMe
hu14ECAE,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu14ECAE,download_type,text
hu14ECAE,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu14ECAE,member_type,text
hu14ECAE,text_file_subtype,23andMe
hu152E96,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu152E96,download_type,archive
hu152E96,archive_member_count,1
hu152E96,archive_content,name_is_genome_mumble_txt
hu152E96,member_name,genome_Peter_Vandermolen_Full_20150418081057.txt
hu152E96,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu152E96,member_type,text
hu152E96,text_file_subtype,23andMe
hu155D20,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu155D20,download_type,archive
hu155D20,archive_member_count,1
hu155D20,archive_content,name_is_genome_mumble_txt
hu155D20,member_name,genome_Brandon_Moyer_Full_20131110183007.txt
hu155D20,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu155D20,member_type,text
hu155D20,text_file_subtype,23andMe
hu15BFF8,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu15BFF8,download_type,text
hu15BFF8,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu15BFF8,member_type,text
hu15BFF8,text_file_subtype,23andMe
hu16360E,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu16360E,download_type,archive
hu16360E,archive_member_count,1
hu16360E,archive_content,name_is_genome_mumble_txt
hu16360E,member_name,genome_Kathleen_Voss_20090331201347.txt
hu16360E,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu16360E,member_type,text
hu16360E,text_file_subtype,23andMe
hu16A1B3,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu16A1B3,download_type,archive
hu16A1B3,archive_member_count,1
hu16A1B3,archive_content,name_is_genome_mumble_txt
hu16A1B3,member_name,genome_Tim_Henry_Full_20110726200528.txt
hu16A1B3,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu16A1B3,member_type,text
hu16A1B3,text_file_subtype,23andMe
hu1712BC,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1712BC,download_type,archive
hu1712BC,archive_member_count,1
hu1712BC,archive_content,name_is_genome_mumble_txt
hu1712BC,member_name,genome_Kathleen_Reed_Full_20130620121615.txt
hu1712BC,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1712BC,member_type,text
hu1712BC,text_file_subtype,23andMe
hu17DFDB,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu17DFDB,download_type,text
hu17DFDB,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu17DFDB,member_type,text
hu17DFDB,text_file_subtype,23andMe
hu1843FC,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1843FC,download_type,text
hu1843FC,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1843FC,member_type,text
hu1843FC,text_file_subtype,23andMe
hu199D27,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu199D27,download_type,text
hu199D27,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu199D27,member_type,text
hu199D27,text_file_subtype,23andMe
hu19C09F,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu19C09F,download_type,archive
hu19C09F,archive_member_count,1
hu19C09F,archive_content,name_is_genome_mumble_txt
hu19C09F,member_name,genome_Joseph_Bedell_Full_20110113135135.txt
hu19C09F,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu19C09F,member_type,text
hu19C09F,text_file_subtype,23andMe
hu1A57E4,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1A57E4,download_type,text
hu1A57E4,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1A57E4,member_type,text
hu1A57E4,text_file_subtype,23andMe
hu1A7894,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1A7894,download_type,archive
hu1A7894,archive_member_count,1
hu1A7894,archive_content,name_is_genome_mumble_txt
hu1A7894,member_name,genome_Susan_Voss_Full_20110728045631.txt
hu1A7894,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1A7894,member_type,text
hu1A7894,text_file_subtype,23andMe
hu1A8107,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1A8107,download_type,text
hu1A8107,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1A8107,member_type,text
hu1A8107,text_file_subtype,23andMe
hu1AF4ED,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1AF4ED,download_type,text
hu1AF4ED,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1AF4ED,member_type,text
hu1AF4ED,text_file_subtype,23andMe
hu1AF744,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1AF744,download_type,text
hu1AF744,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1AF744,member_type,text
hu1AF744,text_file_subtype,23andMe
hu1B2689,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1B2689,download_type,text
hu1B2689,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1B2689,member_type,text
hu1B2689,text_file_subtype,23andMe
hu1BD549,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1BD549,download_type,archive
hu1BD549,archive_member_count,1
hu1BD549,archive_content,name_is_genome_mumble_txt
hu1BD549,member_name,genome_Judith_Blunt_Full_20110125111510.txt
hu1BD549,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1BD549,member_type,text
hu1BD549,text_file_subtype,23andMe
hu1BDBA5,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1BDBA5,download_type,archive
hu1BDBA5,archive_member_count,1
hu1BDBA5,archive_content,name_is_genome_mumble_txt
hu1BDBA5,member_name,genome_Mark_Jones_Full_20110717214921.txt
hu1BDBA5,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1BDBA5,member_type,text
hu1BDBA5,text_file_subtype,23andMe
hu1BDE7A,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1BDE7A,download_type,archive
hu1BDE7A,archive_member_count,1
hu1BDE7A,archive_content,name_is_genome_mumble_txt
hu1BDE7A,member_name,genome_Bernard_Yu_Full_20141207152147.txt
hu1BDE7A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1BDE7A,member_type,text
hu1BDE7A,text_file_subtype,23andMe
hu1C542B,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1C542B,download_type,archive
hu1C542B,archive_content,archive_is_bad
hu1C542B,member_type_from_magic_number,empty
hu1C542B,member_type,text
hu1C542B,text_file_subtype,unknown
hu1D6DF3,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1D6DF3,download_type,text
hu1D6DF3,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1D6DF3,member_type,text
hu1D6DF3,text_file_subtype,23andMe
hu1DD730,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1DD730,download_type,text
hu1DD730,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1DD730,member_type,text
hu1DD730,text_file_subtype,23andMe
hu1EE386,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1EE386,download_type,text
hu1EE386,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1EE386,member_type,text
hu1EE386,text_file_subtype,23andMe
hu1F4A47,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1F4A47,download_type,archive
hu1F4A47,archive_member_count,1
hu1F4A47,archive_content,name_is_genome_mumble_txt
hu1F4A47,member_name,genome_Natalie_Melchiorre_Full_20120610231357.txt
hu1F4A47,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1F4A47,member_type,text
hu1F4A47,text_file_subtype,23andMe
hu1F73AB,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu1F73AB,download_type,archive
hu1F73AB,archive_member_count,1
hu1F73AB,archive_content,name_is_genome_mumble_txt
hu1F73AB,member_name,genome_Aleta_March_Full_20120518080415.txt
hu1F73AB,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1F73AB,member_type,text
hu1F73AB,text_file_subtype,23andMe
hu1FDEED,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1FDEED,download_type,text
hu1FDEED,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu1FDEED,member_type,text
hu1FDEED,text_file_subtype,23andMe
hu214F30,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu214F30,download_type,text
hu214F30,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu214F30,member_type,text
hu214F30,text_file_subtype,23andMe
hu2167CD,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu2167CD,download_type,text
hu2167CD,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu2167CD,member_type,text
hu2167CD,text_file_subtype,23andMe
hu21731A,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu21731A,download_type,text
hu21731A,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu21731A,member_type,text
hu21731A,text_file_subtype,23andMe
hu2331A5,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu2331A5,download_type,text
hu2331A5,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu2331A5,member_type,text
hu2331A5,text_file_subtype,23andMe
hu23502F,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu23502F,download_type,archive
hu23502F,archive_member_count,1
hu23502F,archive_content,other_name
hu23502F,member_name,snpData.txt
hu23502F,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu23502F,member_type,text
hu23502F,text_file_subtype,23andMe
hu241DEA,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu241DEA,download_type,text
hu241DEA,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu241DEA,member_type,text
hu241DEA,text_file_subtype,23andMe
hu24A473,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu24A473,download_type,text
hu24A473,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu24A473,member_type,text
hu24A473,text_file_subtype,23andMe
hu25BD97,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu25BD97,download_type,archive
hu25BD97,archive_member_count,1
hu25BD97,archive_content,name_is_genome_mumble_txt
hu25BD97,member_name,genome_Lauren_Murphy_Full_20110726145436.txt
hu25BD97,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu25BD97,member_type,text
hu25BD97,text_file_subtype,23andMe
hu25E1EE,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu25E1EE,download_type,text
hu25E1EE,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu25E1EE,member_type,text
hu25E1EE,text_file_subtype,23andMe
hu25E94B,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu25E94B,download_type,archive
hu25E94B,archive_member_count,1
hu25E94B,archive_content,name_is_genome_mumble_txt
hu25E94B,member_name,genome_Full_20120106210128.txt
hu25E94B,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu25E94B,member_type,text
hu25E94B,text_file_subtype,23andMe
hu269E6C,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu269E6C,download_type,text
hu269E6C,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu269E6C,member_type,text
hu269E6C,text_file_subtype,23andMe
hu26E3D1,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu26E3D1,download_type,text
hu26E3D1,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu26E3D1,member_type,text
hu26E3D1,text_file_subtype,23andMe
hu275E09,actual_file_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu275E09,download_type,text
hu275E09,member_type_from_magic_number,"ASCII text, with CRLF line terminators"
hu275E09,member_type,text
hu275E09,text_file_subtype,23andMe
hu27FD1F,actual_file_type_from_magic_number,"Zip archive data, at least v2.0 to extract"
hu27FD1F,download_type,archive
hu27FD1F,archive_member_count,1
